date_created,assetSlug,price
2023-01-01T23:25:22.444366Z,avalanche,10.86
2023-01-02T23:55:10.352543Z,avalanche,11.15
2023-01-03T23:50:18.037334Z,avalanche,11.38
2023-01-04T23:50:12.481687Z,avalanche,12.08
2023-01-05T23:55:38.150299Z,avalanche,11.74
2023-01-06T23:55:26.948077Z,avalanche,11.79
2023-01-07T23:55:17.732683Z,avalanche,11.75
2023-01-08T23:50:13.076186Z,avalanche,12.02
2023-01-09T23:55:24.033742Z,avalanche,12.21
2023-01-10T23:45:16.760169Z,avalanche,12.73
2023-01-11T23:55:10.24572Z,avalanche,15.92
2023-01-12T23:55:10.183138Z,avalanche,15.41
2023-01-13T23:50:18.022797Z,avalanche,15.95
2023-01-14T23:50:28.130486Z,avalanche,17.01
2023-01-15T23:55:35.957773Z,avalanche,16.77
2023-01-16T23:55:26.668897Z,avalanche,16.73
2023-01-17T23:55:13.690113Z,avalanche,17.16
2023-01-18T23:55:10.637195Z,avalanche,15.83
2023-01-19T23:50:11.078841Z,avalanche,16.2
2023-01-20T23:55:10.801886Z,avalanche,17.52
2023-01-21T23:55:09.719091Z,avalanche,16.89
2023-01-22T23:55:11.804758Z,avalanche,17.39
2023-01-23T23:55:17.039764Z,avalanche,18.05
2023-01-24T23:50:15.1439Z,avalanche,17.0
2023-01-25T23:55:11.471402Z,avalanche,17.84
2023-01-26T23:55:10.212033Z,avalanche,18.12
2023-01-27T23:55:10.64998Z,avalanche,21.43
2023-01-28T23:50:12.941877Z,avalanche,20.58
2023-01-29T23:55:12.650792Z,avalanche,21.11
2023-01-30T23:55:11.465581Z,avalanche,19.74
2023-01-31T23:55:10.156642Z,avalanche,19.86
2023-02-01T23:55:11.074413Z,avalanche,20.97
2023-02-02T23:50:20.013595Z,avalanche,21.26
2023-02-03T23:55:36.274092Z,avalanche,21.37
2023-02-04T23:55:10.625005Z,avalanche,21.04
2023-02-05T23:55:09.991986Z,avalanche,20.12
2023-02-06T23:55:10.733289Z,avalanche,19.62
2023-02-07T23:55:11.052059Z,avalanche,20.9
2023-02-08T23:55:13.222542Z,avalanche,20.1
2023-02-09T23:50:36.39798Z,avalanche,17.86
2023-02-10T23:55:17.110103Z,avalanche,17.81
2023-02-11T23:45:15.333255Z,avalanche,18.05
2023-02-12T23:55:23.099472Z,avalanche,17.73
2023-02-13T23:45:28.635807Z,avalanche,17.63
2023-02-14T23:55:32.864013Z,avalanche,18.17
2023-02-15T23:55:24.387253Z,avalanche,19.88
2023-02-16T23:45:30.34859Z,avalanche,18.67
2023-02-17T23:55:29.310178Z,avalanche,19.51
2023-02-18T23:55:31.450506Z,avalanche,19.6
2023-02-19T23:55:23.884303Z,avalanche,19.81
2023-02-20T23:55:22.445401Z,avalanche,20.8
2023-02-21T23:55:22.769441Z,avalanche,20.9
2023-02-22T23:59:42.004376Z,avalanche,20.27
2023-02-23T23:55:50.382351Z,avalanche,19.72
2023-02-24T23:55:45.49497Z,avalanche,18.37
